breakpoint_id,load_area,year,price_dollars_per_mmbtu,breakpoint_mmbtu_per_year
3,AZ_APS_E,2063,4.4504,4126082
4,AZ_APS_E,2063,4.7604,7228078
5,AZ_APS_E,2063,565.1593,7252959
6,AZ_APS_E,2063,1213.9689,7263336
7,AZ_APS_E,2063,1248.8130,7271113
8,AZ_APS_E,2063,1634.5481,7280030
9,AZ_APS_E,2063,999999999.0000,
1,AZ_APS_E,2064,1.8640,681448
2,AZ_APS_E,2064,3.8482,996270
3,AZ_APS_E,2064,4.4504,4126082
4,AZ_APS_E,2064,4.7604,7228078
5,AZ_APS_E,2064,565.1593,7252959
6,AZ_APS_E,2064,1213.9689,7263336
7,AZ_APS_E,2064,1248.8130,7271113
8,AZ_APS_E,2064,1634.5481,7280030
9,AZ_APS_E,2064,999999999.0000,
1,AZ_APS_E,2065,1.8640,681448
2,AZ_APS_E,2065,3.8482,996270
3,AZ_APS_E,2065,4.4504,4126082
4,AZ_APS_E,2065,4.7604,7228078
5,AZ_APS_E,2065,565.1593,7252959
6,AZ_APS_E,2065,1213.9689,7263336
7,AZ_APS_E,2065,1248.8130,7271113
8,AZ_APS_E,2065,1634.5481,7280030
9,AZ_APS_E,2065,999999999.0000,
1,AZ_APS_E,2066,1.8640,681448
2,AZ_APS_E,2066,3.8482,996270
3,AZ_APS_E,2066,4.4504,4126082
4,AZ_APS_E,2066,4.7604,7228078
5,AZ_APS_E,2066,565.1593,7252959
6,AZ_APS_E,2066,1213.9689,7263336
7,AZ_APS_E,2066,1248.8130,7271113
8,AZ_APS_E,2066,1634.5481,7280030
9,AZ_APS_E,2066,999999999.0000,
1,AZ_APS_E,2067,1.8640,681448
2,AZ_APS_E,2067,3.8482,996270
3,AZ_APS_E,2067,4.4504,4126082
4,AZ_APS_E,2067,4.7604,7228078
5,AZ_APS_E,2067,565.1593,7252959
6,AZ_APS_E,2067,1213.9689,7263336
7,AZ_APS_E,2067,1248.8130,7271113
8,AZ_APS_E,2067,1634.5481,7280030
9,AZ_APS_E,2067,999999999.0000,
1,AZ_APS_E,2068,1.8640,681448
2,AZ_APS_E,2068,3.8482,996270
3,AZ_APS_E,2068,4.4504,4126082
4,AZ_APS_E,2068,4.7604,7228078
5,AZ_APS_E,2068,565.1593,7252959
