ampl.tab 1 5
hour	period	date	hours_in_sample	month_of_year	hour_of_day
2020071123	2018	20200711	8.0	7	23
2020081000	2018	20200810	240.0	8	0
2020081002	2018	20200810	240.0	8	2
2020081004	2018	20200810	240.0	8	4
2020081006	2018	20200810	240.0	8	6
2020081008	2018	20200810	240.0	8	8
2020081010	2018	20200810	240.0	8	10
2020081012	2018	20200810	240.0	8	12
2020081014	2018	20200810	240.0	8	14
2020081016	2018	20200810	240.0	8	16
2020081018	2018	20200810	240.0	8	18
2020081020	2018	20200810	240.0	8	20
2020081022	2018	20200810	240.0	8	22
2020082701	2018	20200827	8.0	8	1
2020082703	2018	20200827	8.0	8	3
2020082705	2018	20200827	8.0	8	5
2020082707	2018	20200827	8.0	8	7
2020082709	2018	20200827	8.0	8	9
2020082711	2018	20200827	8.0	8	11
2020082713	2018	20200827	8.0	8	13
2020082715	2018	20200827	8.0	8	15
2020082717	2018	20200827	8.0	8	17
2020082719	2018	20200827	8.0	8	19
2020082721	2018	20200827	8.0	8	21
2020082723	2018	20200827	8.0	8	23
2020092100	2018	20200921	232.0	9	0
2020092102	2018	20200921	232.0	9	2
2020092104	2018	20200921	232.0	9	4
2020092106	2018	20200921	232.0	9	6
2020092108	2018	20200921	232.0	9	8
2020092110	2018	20200921	232.0	9	10
2020092112	2018	20200921	232.0	9	12
2020092114	2018	20200921	232.0	9	14
2020092116	2018	20200921	232.0	9	16
2020092118	2018	20200921	232.0	9	18
2020092120	2018	20200921	232.0	9	20
2020092122	2018	20200921	232.0	9	22
2020093001	2018	20200930	8.0	9	1
2020093003	2018	20200930	8.0	9	3
2020093005	2018	20200930	8.0	9	5
2020093007	2018	20200930	8.0	9	7
2020093009	2018	20200930	8.0	9	9
2020093011	2018	20200930	8.0	9	11
2020093013	2018	20200930	8.0	9	13
2020093015	2018	20200930	8.0	9	15
2020093017	2018	20200930	8.0	9	17
2020093019	2018	20200930	8.0	9	19
2020093021	2018	20200930	8.0	9	21
2020093023	2018	20200930	8.0	9	23
2020100101	2018	20201001	8.0	10	1
2020100103	2018	20201001	8.0	10	3
2020100105	2018	20201001	8.0	10	5
2020100107	2018	20201001	8.0	10	7
2020100109	2018	20201001	8.0	10	9
2020100111	2018	20201001	8.0	10	11
2020100113	2018	20201001	8.0	10	13
2020100115	2018	20201001	8.0	10	15
2020100117	2018	20201001	8.0	10	17
2020100119	2018	20201001	8.0	10	19
2020100121	2018	20201001	8.0	10	21
2020100123	2018	20201001	8.0	10	23
2020100400	2018	20201004	240.0	10	0
2020100402	2018	20201004	240.0	10	2
2020100404	2018	20201004	240.0	10	4
2020100406	2018	20201004	240.0	10	6
2020100408	2018	20201004	240.0	10	8
2020100410	2018	20201004	240.0	10	10
2020100412	2018	20201004	240.0	10	12
2020100414	2018	20201004	240.0	10	14
2020100416	2018	20201004	240.0	10	16
2020100418	2018	20201004	240.0	10	18
2020100420	2018	20201004	240.0	10	20
2020100422	2018	20201004	240.0	10	22
2020111301	2018	20201113	8.0	11	1
2020111303	2018	20201113	8.0	11	3
2020111305	2018	20201113	8.0	11	5
2020111307	2018	20201113	8.0	11	7
2020111309	2018	20201113	8.0	11	9
2020111311	2018	20201113	8.0	11	11
2020111313	2018	20201113	8.0	11	13
2020111315	2018	20201113	8.0	11	15
2020111317	2018	20201113	8.0	11	17
2020111319	2018	20201113	8.0	11	19
2020111321	2018	20201113	8.0	11	21
2020111323	2018	20201113	8.0	11	23
2020111600	2018	20201116	232.0	11	0
2020111602	2018	20201116	232.0	11	2
2020111604	2018	20201116	232.0	11	4
2020111606	2018	20201116	232.0	11	6
2020111608	2018	20201116	232.0	11	8
2020111610	2018	20201116	232.0	11	10
2020111612	2018	20201116	232.0	11	12
2020111614	2018	20201116	232.0	11	14
2020111616	2018	20201116	232.0	11	16
2020111618	2018	20201116	232.0	11	18
2020111620	2018	20201116	232.0	11	20
2020111622	2018	20201116	232.0	11	22
2020120700	2018	20201207	240.0	12	0
2020120702	2018	20201207	240.0	12	2
2020120704	2018	20201207	240.0	12	4
2020120706	2018	20201207	240.0	12	6
2020120708	2018	20201207	240.0	12	8
2020120710	2018	20201207	240.0	12	10
2020120712	2018	20201207	240.0	12	12
2020120714	2018	20201207	240.0	12	14
2020120716	2018	20201207	240.0	12	16
2020120718	2018	20201207	240.0	12	18
2020120720	2018	20201207	240.0	12	20
2020120722	2018	20201207	240.0	12	22
2020122501	2018	20201225	8.0	12	1
2020122503	2018	20201225	8.0	12	3
2020122505	2018	20201225	8.0	12	5
2020122507	2018	20201225	8.0	12	7
2020122509	2018	20201225	8.0	12	9
2020122511	2018	20201225	8.0	12	11
2020122513	2018	20201225	8.0	12	13
2020122515	2018	20201225	8.0	12	15
2020122517	2018	20201225	8.0	12	17
2020122519	2018	20201225	8.0	12	19
2020122521	2018	20201225	8.0	12	21
2020122523	2018	20201225	8.0	12	23
2024011600	2022	20240116	8.0	1	0
2024011602	2022	20240116	8.0	1	2
2024011604	2022	20240116	8.0	1	4
2024011606	2022	20240116	8.0	1	6
2024011608	2022	20240116	8.0	1	8
2024011610	2022	20240116	8.0	1	10
2024011612	2022	20240116	8.0	1	12
2024011614	2022	20240116	8.0	1	14
2024011616	2022	20240116	8.0	1	16
2024011618	2022	20240116	8.0	1	18
2024011620	2022	20240116	8.0	1	20
2024011622	2022	20240116	8.0	1	22
2024011800	2022	20240118	240.0	1	0
2024011802	2022	20240118	240.0	1	2
2024011804	2022	20240118	240.0	1	4
2024011806	2022	20240118	240.0	1	6
2024011808	2022	20240118	240.0	1	8
2024011810	2022	20240118	240.0	1	10
2024011812	2022	20240118	240.0	1	12
2024011814	2022	20240118	240.0	1	14
2024011816	2022	20240118	240.0	1	16
2024011818	2022	20240118	240.0	1	18
2024011820	2022	20240118	240.0	1	20
2024011822	2022	20240118	240.0	1	22
2024022001	2022	20240220	8.0	2	1
2024022003	2022	20240220	8.0	2	3
2024022005	2022	20240220	8.0	2	5
2024022007	2022	20240220	8.0	2	7
2024022009	2022	20240220	8.0	2	9
2024022011	2022	20240220	8.0	2	11
2024022013	2022	20240220	8.0	2	13
2024022015	2022	20240220	8.0	2	15
2024022017	2022	20240220	8.0	2	17
2024022019	2022	20240220	8.0	2	19
2024022021	2022	20240220	8.0	2	21
2024022023	2022	20240220	8.0	2	23
2024022100	2022	20240221	226.0	2	0
2024022102	2022	20240221	226.0	2	2
2024022104	2022	20240221	226.0	2	4
2024022106	2022	20240221	226.0	2	6
2024022108	2022	20240221	226.0	2	8
2024022110	2022	20240221	226.0	2	10
2024022112	2022	20240221	226.0	2	12
2024022114	2022	20240221	226.0	2	14
2024022116	2022	20240221	226.0	2	16
2024022118	2022	20240221	226.0	2	18
2024022120	2022	20240221	226.0	2	20
2024022122	2022	20240221	226.0	2	22
2024030600	2022	20240306	240.0	3	0
2024030602	2022	20240306	240.0	3	2
2024030604	2022	20240306	240.0	3	4
2024030606	2022	20240306	240.0	3	6
2024030608	2022	20240306	240.0	3	8
2024030610	2022	20240306	240.0	3	10
2024030612	2022	20240306	240.0	3	12
2024030614	2022	20240306	240.0	3	14
2024030616	2022	20240306	240.0	3	16
2024030618	2022	20240306	240.0	3	18
2024030620	2022	20240306	240.0	3	20
2024030622	2022	20240306	240.0	3	22
2024032501	2022	20240325	8.0	3	1
2024032503	2022	20240325	8.0	3	3
2024032505	2022	20240325	8.0	3	5
2024032507	2022	20240325	8.0	3	7
2024032509	2022	20240325	8.0	3	9
2024032511	2022	20240325	8.0	3	11
2024032513	2022	20240325	8.0	3	13
2024032515	2022	20240325	8.0	3	15
2024032517	2022	20240325	8.0	3	17
2024032519	2022	20240325	8.0	3	19
2024032521	2022	20240325	8.0	3	21
2024032523	2022	20240325	8.0	3	23
2024040300	2022	20240403	232.0	4	0
2024040302	2022	20240403	232.0	4	2
2024040304	2022	20240403	232.0	4	4
2024040306	2022	20240403	232.0	4	6
2024040308	2022	20240403	232.0	4	8
2024040310	2022	20240403	232.0	4	10
2024040312	2022	20240403	232.0	4	12
2024040314	2022	20240403	232.0	4	14
2024040316	2022	20240403	232.0	4	16
2024040318	2022	20240403	232.0	4	18
2024040320	2022	20240403	232.0	4	20
2024040322	2022	20240403	232.0	4	22
2024042101	2022	20240421	8.0	4	1
2024042103	2022	20240421	8.0	4	3
2024042105	2022	20240421	8.0	4	5
2024042107	2022	20240421	8.0	4	7
2024042109	2022	20240421	8.0	4	9
2024042111	2022	20240421	8.0	4	11
2024042113	2022	20240421	8.0	4	13
2024042115	2022	20240421	8.0	4	15
2024042117	2022	20240421	8.0	4	17
2024042119	2022	20240421	8.0	4	19
2024042121	2022	20240421	8.0	4	21
2024042123	2022	20240421	8.0	4	23
2024051500	2022	20240515	240.0	5	0
2024051502	2022	20240515	240.0	5	2
2024051504	2022	20240515	240.0	5	4
2024051506	2022	20240515	240.0	5	6
2024051508	2022	20240515	240.0	5	8
2024051510	2022	20240515	240.0	5	10
2024051512	2022	20240515	240.0	5	12
2024051514	2022	20240515	240.0	5	14
2024051516	2022	20240515	240.0	5	16
2024051518	2022	20240515	240.0	5	18
2024051520	2022	20240515	240.0	5	20
2024051522	2022	20240515	240.0	5	22
2024052001	2022	20240520	8.0	5	1
2024052003	2022	20240520	8.0	5	3
